a,a,1,01/01/2001 00:00:00,Computer science,Dzienne,mail@pjwstk.edu.pl,Jan,Anna
b,b,2,01/01/2001 00:00:00,Computer science,Dzienne,mail@pjwstk.edu.pl,Jan,Anna
c,c,3,01/01/2001 00:00:00,Computer science,Dzienne,mail@pjwstk.edu.pl,Jan,Anna
d,d,4,01/01/2001 00:00:00,Computer science,Dzienne,mail@pjwstk.edu.pl,Jan,Anna
e,e,5,01/01/2001 00:00:00,Computer science,Dzienne,mail@pjwstk.edu.pl,Jan,Anna
f,f,6,01/01/2001 00:00:00,Computer science,Dzienne,mail@pjwstk.edu.pl,Jan,Anna
g,g,7,01/01/2001 00:00:00,Computer science,Dzienne,mail@pjwstk.edu.pl,Jan,Anna
h,h,8,01/01/2001 00:00:00,Computer science,Dzienne,mail@pjwstk.edu.pl,Jan,Anna
i,i,9,01/01/2001 00:00:00,Computer science,Dzienne,mail@pjwstk.edu.pl,Jan,Anna
j,j,10,01/01/2001 00:00:00,Computer science,Dzienne,mail@pjwstk.edu.pl,Jan,Anna
k,k,11,01/01/2001 00:00:00,Computer science,Dzienne,mail@pjwstk.edu.pl,Jan,Anna
